tensor,attention,story_id,token_id
1007,0.00534330029040575,3,172
2040,0.005331899970769882,3,173
2020,0.005359170958399773,3,174
3625,0.005231359973549843,3,175
2005,0.005275790113955736,3,176
1996,0.0052919951267540455,3,177
8040,0.005140638444572687,3,178
3286,0.005163607187569141,3,179
1012,0.005519640166312456,3,180
2027,0.005630869884043932,3,181
2227,0.005682508461177349,3,182
1023,0.005878968629986048,3,183
2086,0.006111953407526016,3,184
1999,0.00588328018784523,3,185
3827,0.005839362274855375,3,186
1012,0.005885280203074217,3,187
2144,0.006321554537862539,4,0
3054,0.005878964439034462,4,1
1011,0.00588513957336545,4,2
2258,0.005586015991866589,4,3
2760,0.005966572556644678,4,4
1010,0.005985110532492399,4,5
1037,0.00620224978774786,4,6
2555,0.006343768443912268,4,7
1999,0.006307784002274275,4,8
11606,0.006128203123807907,4,9
1010,0.006078654434531927,4,10
2762,0.005876387469470501,4,11
1010,0.005901153665035963,4,12
2038,0.005744478199630976,4,13
4320,0.00553740793839097,4,14
1037,0.005357346963137388,4,15
2186,0.005367622245103121,4,16
1997,0.005435797851532698,4,17
8769,0.005504129454493523,4,18
2275,0.00566522404551506,4,19
2011,0.005600652191787958,4,20
2028,0.005524263251572847,4,21
2030,0.005445927381515503,4,22
2062,0.005451863165944815,4,23
3158,0.005711643490940332,4,24
9305,0.00557057885453105,4,25
2015,0.005299231968820095,4,26
2008,0.0054037608206272125,4,27
22395,0.005309872794896364,4,28
11669,0.0052143302746117115,4,29
18484,0.005102439317852259,4,30
1010,0.005357155576348305,4,31
1037,0.005717449821531773,4,32
2482,0.005555331707000732,4,33
1010,0.005707856733351946,4,34
1998,0.005570375360548496,4,35
2130,0.005521149840205908,4,36
2019,0.005681726150214672,4,37
2972,0.0056909858249127865,4,38
2237,0.005974398925900459,4,39
2160,0.005892467685043812,4,40
1012,0.005845178384333849,4,41
2012,0.005945178214460611,4,42
2049,0.005824493244290352,4,43
4672,0.0058728470467031,4,44
1010,0.005722362548112869,4,45
1022,0.005582467652857304,4,46
2367,0.005517320241779089,4,47
