story_tokenized,tensor,story_id,story,token_id,story_cond,hedges
a,1037,1,'smuggler_free',111,'smuggler_free',F
fine,2986,1,'smuggler_free',112,'smuggler_free',F
of,1997,1,'smuggler_free',113,'smuggler_free',F
$,1002,1,'smuggler_free',114,'smuggler_free',F
800,5385,1,'smuggler_free',115,'smuggler_free',F
##0,2692,1,'smuggler_free',116,'smuggler_free',F
.,1012,1,'smuggler_free',117,'smuggler_free',F
the,1996,1,'smuggler_free',118,'smuggler_free',F
case,2553,1,'smuggler_free',119,'smuggler_free',F
rests,16626,1,'smuggler_free',120,'smuggler_free',F
on,2006,1,'smuggler_free',121,'smuggler_free',F
an,2019,1,'smuggler_free',122,'smuggler_free',F
anonymous,10812,1,'smuggler_free',123,'smuggler_free',F
tip,5955,1,'smuggler_free',124,'smuggler_free',F
",",1010,1,'smuggler_free',125,'smuggler_free',F
which,2029,1,'smuggler_free',126,'smuggler_free',F
provides,3640,1,'smuggler_free',127,'smuggler_free',F
a,1037,1,'smuggler_free',128,'smuggler_free',F
very,2200,1,'smuggler_free',129,'smuggler_free',F
weak,5410,1,'smuggler_free',130,'smuggler_free',F
case,2553,1,'smuggler_free',131,'smuggler_free',F
for,2005,1,'smuggler_free',132,'smuggler_free',F
the,1996,1,'smuggler_free',133,'smuggler_free',F
men,2273,1,'smuggler_free',134,'smuggler_free',F
',1005,1,'smuggler_free',135,'smuggler_free',F
s,1055,1,'smuggler_free',136,'smuggler_free',F
guilt,8056,1,'smuggler_free',137,'smuggler_free',F
.,1012,1,'smuggler_free',138,'smuggler_free',F
moreover,9308,1,'smuggler_free',139,'smuggler_free',F
",",1010,1,'smuggler_free',140,'smuggler_free',F
all,2035,1,'smuggler_free',141,'smuggler_free',F
four,2176,1,'smuggler_free',142,'smuggler_free',F
men,2273,1,'smuggler_free',143,'smuggler_free',F
have,2031,1,'smuggler_free',144,'smuggler_free',F
plausible,24286,1,'smuggler_free',145,'smuggler_free',F
ali,4862,1,'smuggler_free',146,'smuggler_free',F
##bis,18477,1,'smuggler_free',147,'smuggler_free',F
.,1012,1,'smuggler_free',148,'smuggler_free',F
thus,2947,1,'smuggler_free',149,'smuggler_free',F
",",1010,1,'smuggler_free',150,'smuggler_free',F
they,2027,1,'smuggler_free',151,'smuggler_free',F
weren,4694,1,'smuggler_free',152,'smuggler_free',F
',1005,1,'smuggler_free',153,'smuggler_free',F
t,1056,1,'smuggler_free',154,'smuggler_free',F
involved,2920,1,'smuggler_free',155,'smuggler_free',F
.,1012,1,'smuggler_free',156,'smuggler_free',F
since,2144,2,'arson_free',0,'arson_free',T
mid,3054,2,'arson_free',1,'arson_free',T
-,1011,2,'arson_free',2,'arson_free',T
april,2258,2,'arson_free',3,'arson_free',T
2018,2760,2,'arson_free',4,'arson_free',T
",",1010,2,'arson_free',5,'arson_free',T
a,1037,2,'arson_free',6,'arson_free',T
region,2555,2,'arson_free',7,'arson_free',T
in,1999,2,'arson_free',8,'arson_free',T
bavaria,11606,2,'arson_free',9,'arson_free',T
",",1010,2,'arson_free',10,'arson_free',T
germany,2762,2,'arson_free',11,'arson_free',T
",",1010,2,'arson_free',12,'arson_free',T
has,2038,2,'arson_free',13,'arson_free',T
faced,4320,2,'arson_free',14,'arson_free',T
a,1037,2,'arson_free',15,'arson_free',T
series,2186,2,'arson_free',16,'arson_free',T
of,1997,2,'arson_free',17,'arson_free',T
fires,8769,2,'arson_free',18,'arson_free',T
set,2275,2,'arson_free',19,'arson_free',T
by,2011,2,'arson_free',20,'arson_free',T
one,2028,2,'arson_free',21,'arson_free',T
or,2030,2,'arson_free',22,'arson_free',T
more,2062,2,'arson_free',23,'arson_free',T
van,3158,2,'arson_free',24,'arson_free',T
##dal,9305,2,'arson_free',25,'arson_free',T
##s,2015,2,'arson_free',26,'arson_free',T
that,2008,2,'arson_free',27,'arson_free',T
ignited,22395,2,'arson_free',28,'arson_free',T
trash,11669,2,'arson_free',29,'arson_free',T
cans,18484,2,'arson_free',30,'arson_free',T
",",1010,2,'arson_free',31,'arson_free',T
a,1037,2,'arson_free',32,'arson_free',T
car,2482,2,'arson_free',33,'arson_free',T
",",1010,2,'arson_free',34,'arson_free',T
and,1998,2,'arson_free',35,'arson_free',T
even,2130,2,'arson_free',36,'arson_free',T
an,2019,2,'arson_free',37,'arson_free',T
entire,2972,2,'arson_free',38,'arson_free',T
town,2237,2,'arson_free',39,'arson_free',T
house,2160,2,'arson_free',40,'arson_free',T
.,1012,2,'arson_free',41,'arson_free',T
at,2012,2,'arson_free',42,'arson_free',T
its,2049,2,'arson_free',43,'arson_free',T
peak,4672,2,'arson_free',44,'arson_free',T
",",1010,2,'arson_free',45,'arson_free',T
8,1022,2,'arson_free',46,'arson_free',T
different,2367,2,'arson_free',47,'arson_free',T
fires,8769,2,'arson_free',48,'arson_free',T
were,2020,2,'arson_free',49,'arson_free',T
started,2318,2,'arson_free',50,'arson_free',T
in,1999,2,'arson_free',51,'arson_free',T
a,1037,2,'arson_free',52,'arson_free',T
